paper_key,key_type,title,abstract,year,authors,url,source
0709.2826,arxiv,Sudakov resummation in QCD,"In this PhD thesis, we analyze and generalize the renormalization group
approach to the resummation of large logarithms in the perturbative expansion
due to soft and collinear multiparton emissions. In particular, we present a
generalization of this approach to prompt photon production. It is interesting
to see that also with the more intricate two-scale kinematics that
characterizes prompt photon production in the soft limit, it remains true that
resummation simply follows from general kinematic properties of the phase
space. Also, this approach does not require a separate treatment of individual
colour structures when more than one colour structure contributes to fixed
order results. However, the resummation formulae obtained here turn out to be
less predictive than previous results: this depends on the fact that here
neither specific factorization properties of the cross section in the soft
limit is assumed, nor that soft emission satisfies eikonal-like relations. We
also derive resumation formulae to all logarithmic accuracy and valid for all
values of rapidity for the prompt photon production and the Drell-Yan rapidity
distributions. We show that for the fixed-target experiment E866/NuSea, the NLL
resummation corrections are comparable to NLO fixed-order corrections and are
crucial to obtain agreement with the data. Finally we outline also possible
future applications of the renormalization group approach.",2007.0,Paolo Bolzoni,https://arxiv.org/abs/0709.2826,arxiv
0803.0672,arxiv,Higgs boson mass in supersymmetry to three loops,"Within the minimal supersymmetric extension of the Standard Model, the mass
of the light CP-even Higgs boson is computed to three-loop accuracy, taking
into account the next-to-next-to-leading order effects from supersymmetric
Quantum Chromodynamics. We consider two different scenarios for the mass
hierarchies of the supersymmetric spectrum. Our numerical results amount to
corrections of about 500 MeV which is of the same order as the experimental
accuracy expected at the CERN Large Hadron Collider (LHC).",2008.0,"R. V. Harlander, P. Kant, L. Mihaila, M. Steinhauser",https://arxiv.org/abs/0803.0672,arxiv
0804.1476,arxiv,"Theoretical status and prospects for top-quark pair production at hadron
  colliders","We present an update of the theoretical predictions for the cross section of
top-quark pair production at Tevatron and LHC. In particular we employ
improvements due to soft gluon resummation at next-to-next-to-leading
logarithmic accuracy. We expand the resummed results and derive analytical
finite-order cross sections through next-to-next-to-leading order which are
exact in all logarithmically enhanced terms near threshold. These results are
the best present estimates for the top-quark pair production cross section. We
investigate the scale dependence as well as the sensitivity on the parton
luminosities.",2008.0,"Sven Moch, Peter Uwer",https://arxiv.org/abs/0804.1476,arxiv
0805.3844,arxiv,The theoretical top quark cross section at the Tevatron and the LHC,"We present results for the top quark pair cross section at the Tevatron and
the LHC. We use the resummed double differential cross section, employing the
fully kinematics-dependent soft anomalous dimension matrices, to calculate the
soft-gluon contributions at next-to-next-to-leading order (NNLO). We improve
and update our previous estimates by refining our methods, including further
subleading terms, and employing the most recent parton distribution function
sets. The NNLO soft corrections significantly enhance the NLO cross section
while considerably reducing the scale dependence. We provide a detailed
discussion of all theoretical uncertainties in our calculation, including
kinematics, scale, and parton distributions uncertainties and clarify the
differences between our work and other approaches in the literature.",2008.0,"Nikolaos Kidonakis, Ramona Vogt",https://arxiv.org/abs/0805.3844,arxiv
0807.3243,arxiv,Algorithm FIRE -- Feynman Integral REduction,"The recently developed algorithm FIRE performs the reduction of Feynman
integrals to master integrals. It is based on a number of strategies, such as
applying the Laporta algorithm, the s-bases algorithm, region-bases and
integrating explicitly over loop momenta when possible. Currently it is being
used in complicated three-loop calculations.",2008.0,A. V. Smirnov,https://arxiv.org/abs/0807.3243,arxiv
0807.4412,arxiv,"On next-to-eikonal corrections to threshold resummation for the
  Drell-Yan and DIS cross sections","We study corrections suppressed by one power of the soft gluon energy to the
resummation of threshold logarithms for the Drell-Yan cross section and for
Deep Inelastic structure functions. While no general factorization theorem is
known for these next-to-eikonal (NE) corrections, it is conjectured that at
least a subset will exponentiate, along with the logarithms arising at leading
power. Here we develop some general tools to study NE logarithms, and we
construct an ansatz for threshold resummation that includes various sources of
NE corrections, implementing in this context the improved collinear evolution
recently proposed by Dokshitzer, Marchesini and Salam (DMS). We compare our
ansatz to existing exact results at two and three loops, finding evidence for
the exponentiation of leading NE logarithms and confirming the predictivity of
DMS evolution.",2008.0,"Eric Laenen, Lorenzo Magnea, Gerben Stavenga",https://arxiv.org/abs/0807.4412,arxiv
0809.4283,arxiv,"Renormalization-Group Improved Prediction for Higgs Production at Hadron
  Colliders","We use renormalization-group methods in effective field theory to improve the
theoretical prediction for the cross section for Higgs-boson production at
hadron colliders. In addition to soft-gluon resummation at NNNLL, we also resum
enhanced contributions of the form (C_A\pi\alpha_s)^n, which arise in the
analytic continuation of the gluon form factor to time-like momentum transfer.
This resummation is achieved by evaluating the matching corrections arising at
the Higgs-boson mass scale at a time-like renormalization point \mu^2<0,
followed by renormalization-group evolution to \mu^2>0. We match our resummed
result to NNLO fixed-order perturbation theory and give numerical predictions
for the total production cross section as a function of the Higgs-boson mass.
Resummation effects are significant even at NNLO, where our improved
predictions for the cross sections at the Tevatron and the LHC exceed the
fixed-order predictions by about 13% and 8%, respectively, for m_H=120 GeV. We
also discuss the application of our technique to other time-like processes such
as Drell-Yan production, e^+ e^- --> hadrons, and hadronic decays of the Higgs
boson.",2008.0,"Valentin Ahrens, Thomas Becher, Matthias Neubert, Li Lin Yang",https://arxiv.org/abs/0809.4283,arxiv
0812.0500,arxiv,Partons and jets in a strongly-coupled plasma from AdS/CFT,"We give a pedagogical review of recent progress towards understanding the
response of a strongly coupled plasma at finite temperature to a hard probe.
The plasma is that of the N=4 supersymmetric Yang-Mills theory and the hard
probe is a virtual photon, or, more precisely, an R-current. Via the
gauge/gravity duality, the problem of the current interacting with the plasma
is mapped onto the gravitational interaction between a Maxwell field and a
black hole embedded in the AdS_5 x S^5 geometry. The physical interpretation of
the AdS/CFT results can be then reconstructed with the help of the
ultraviolet/infrared correspondence. We thus deduce that, for sufficiently high
energy, the photon (or any other hard probe: a quark, a gluon, or a meson)
disappears into the plasma via a universal mechanism, which is quasi-democratic
parton branching: the current develops a parton cascade such that, at any step
in the branching process, the energy is almost equally divided among the
daughter partons. The branching rate is controlled by the plasma which acts on
the colored partons with a constant force ~ T^2. When reinterpreted in the
plasma infinite momentum frame, the same AdS/CFT results suggest a parton
picture for the plasma structure functions, in which all the partons have
fallen at very small values of Bjorken's x. For a time-like current in the
vacuum, quasi-democratic branching implies that there should be no jets in
electron-positron annihilation at strong coupling, but only a spatially
isotropic distribution of hadronic matter.",2008.0,Edmond Iancu,https://arxiv.org/abs/0812.0500,arxiv
0901.0722,arxiv,Infrared singularities of scattering amplitudes in perturbative QCD,"An exact formula is derived for the infrared singularities of dimensionally
regularized scattering amplitudes in massless QCD with an arbitrary number of
legs, valid at any number of loops. It is based on the conjecture that the
anomalous-dimension matrix of n-jet operators in soft-collinear effective
theory contains only a single non-trivial color structure, whose coefficient is
the cusp anomalous dimension of Wilson loops with light-like segments. Its
color-diagonal part is characterized by two anomalous dimensions, which are
extracted to three-loop order from known perturbative results for the quark and
gluon form factors. This allows us to predict the three-loop coefficients of
all 1/epsilon^k poles for an arbitrary n-parton scattering amplitudes,
generalizing existing two-loop results.",2009.0,"Thomas Becher, Matthias Neubert",https://arxiv.org/abs/0901.0722,arxiv
0901.1091,arxiv,"Factorization constraints for soft anomalous dimensions in QCD
  scattering amplitudes","We study the factorization of soft and collinear singularities in
dimensionally-regularized fixed-angle scattering amplitudes in massless gauge
theories. Our factorization is based on replacing the hard massless partons by
light-like Wilson lines, and defining gauge-invariant jet and soft functions in
dimensional regularization. In this scheme the factorized amplitude admits a
powerful symmetry: it is invariant under rescaling of individual Wilson-line
velocities. This symmetry is broken by cusp singularities in both the soft and
the eikonal jet functions. We show that the cancellation of these cusp
anomalies in any multi-leg amplitude imposes all-order constraints on the
kinematic dependence of the corresponding soft anomalous dimension, relating it
to the cusp anomalous dimension. For amplitudes with two or three hard partons
the solution is unique: the constraints fully determine the kinematic
dependence of the soft function. For amplitudes with four or more hard partons
we present a minimal solution where the soft anomalous dimension is a sum over
colour dipoles, multiplied by the cusp anomalous dimension. In this case
additional contributions to the soft anomalous dimension at three loops or
beyond are not excluded, but they are constrained to be functions of conformal
cross ratios of kinematic variables.",2009.0,"Einan Gardi, Lorenzo Magnea",https://arxiv.org/abs/0901.1091,arxiv
