paper_key,key_type,title,abstract,year,authors,url,source,depth,clean_abstract,Topic_r1,Topic_r2,Topic_r3,Topic_final,arxiv_id,doi,is_ml
,,Universality in the resurgence of generalized Tracy-Widom distributions,"We analyze determinants associated with Bessel kernels and generic symbol functions, which govern a class of observables across all values of the 't Hooft coupling in supersymmetric gauge theories. Previous approaches, based on integro-differential equations, have provided systematic strong-coupling expansions for the logarithms of these determinants, expressed through the moments of the symbol. The resulting asymptotic series, once completed with non-perturbative terms, allowed the leading resurgence relations to be tested. In this Letter we focus directly on the determinants themselves, and we uncover a strikingly simple non-perturbative structure: all trans-series corrections share a universal form, while the moments transform in a direct and intuitive way. This simplicity points to an underlying organizing principle for the non-perturbative dynamics of gauge theory observables.",2025,"['Zoltan Bajnok', 'Bercel Boldis', 'Dennis le Plat']",http://arxiv.org/abs/2509.20302v1,arxiv,,,,,,,2509.20302v1,,False
GPU Implementation of Zippel Method for Feynman Integral Reconstruction,unknown,GPU Implementation of Zippel Method for Feynman Integral Reconstruction,"The Zippel algorithm performs a rational reconstruction of multivariate polynomials and aims specifically at the sparse case. It is applied in different fields of science, lately becoming an important step in Feynman integral reduction in elementary particle physics. In some cases with multiple variables it might become a bottleneck for the whole evaluation so that different optimizations are required. In this paper we describe how we ported the classical Zippel algorithm together with its balanced version for rational functions to graphical processor units and perform its evaluation on several GPUs.",2025,"['Smirnov', 'Alexander V.', 'Rozhnov', 'Boris I.', 'Voevodin', 'Vadim V.']",,inspire_citation,3.0,"The Zippel algorithm performs a rational reconstruction of multivariate polynomials and aims specifically at the sparse case. It is applied in different fields of science, lately becoming an important step in Feynman integral reduction in elementary particle physics. In some cases with multiple variables it might become a bottleneck for the whole evaluation so that different optimizations are required. In this paper we describe how we ported the classical Zippel algorithm together with its balanced version for rational functions to graphical processor units and perform its evaluation on several GPUs.",5.0,1.0,1.0,1.0,,,False
,,Performance of heavy-flavour jet identification in Lorentz-boosted   topologies in proton-proton collisions at $\sqrt{s}$ = 13 TeV,"Measurements in the highly Lorentz-boosted regime provoke increased interest in probing the Higgs boson properties and in searching for particles beyond the standard model at the LHC. In the CMS Collaboration, various boosted-object tagging algorithms, designed to identify hadronic jets originating from a massive particle decaying to $\mathrm{b\overline{b}}$ or $\mathrm{c\overline{c}}$, have been developed and deployed across a range of physics analyses. This paper highlights their performance on simulated events, and summarizes novel calibration techniques using proton-proton collision data collected at $\sqrt{s}$ = 13 TeV during the 2016$-$2018 LHC data-taking period. Three dedicated methods are used for the calibration in multijet events, leveraging either machine learning techniques, the presence of muons within energetic boosted jets, or the reconstruction of hadronically decaying high-energy Z bosons. The calibration results, obtained through a combination of these approaches, are presented and discussed.",2025,['CMS Collaboration'],http://arxiv.org/abs/2510.10228v1,arxiv,,,,,,,2510.10228v1,,True
,,Uncovering Singularities in Feynman Integrals via Machine Learning,"We introduce a machine-learning framework based on symbolic regression to extract the full symbol alphabet of multi-loop Feynman integrals. By targeting the analytic structure rather than reduction, the method is broadly applicable and interpretable across different families of integrals. It successfully reconstructs complete symbol alphabets in nontrivial examples, demonstrating both robustness and generality. Beyond accelerating computations case by case, it uncovers the analytic structure universally. This framework opens new avenues for multi-loop amplitude analysis and provides a versatile tool for exploring scattering amplitudes.",2025,"['Yuanche Liu', 'Yingxuan Xu', 'Yang Zhang']",http://arxiv.org/abs/2510.10099v1,arxiv,,,,,,,2510.10099v1,,True
,,Theoretical filters for shift-symmetric Horndeski gravities,"We investigate the structure of nontrivial maximally symmetric vacua and compact-object solutions in shift-symmetric scalar-tensor theories. Focusing on Horndeski gravity, we derive consistency conditions directly from the field equations to identify the subclasses that admit Minkowski and de Sitter vacua with a nontrivial scalar field. In doing so, we obtain a filtering mechanism that operates independently of observational data. In this context, we introduce the notion of stealth vacua, where the scalar field remains active without altering the vacuum. Following this, we examine the theoretical framework of Horndeski theories that admit homogeneous geometries and we extract the implicit form of the solution pertaining to the entire family of theories. Building upon these frameworks, we construct exact solutions in beyond-Horndeski gravity by applying a linear disformal transformation to the regularized Einstein-Gauss-Bonnet black hole. This procedure yields solitonic spacetimes with scalar hair as well as black holes carrying primary scalar hair, demonstrating how disformal maps can qualitatively modify solution properties. We delineate the parameter space in which the transformation is well-defined and analyze the solutions. Our results provide both a principled criterion for selecting viable Horndeski models and a framework for exploring rich solution spaces in beyond-Horndeski gravity.",2025,"['Athanasios Bakopoulos', 'Christos Charmousis', 'Nikos Chatzifotis', 'Theodoros Nakas']",http://arxiv.org/abs/2510.09547v1,arxiv,,,,,,,2510.09547v1,,False
,,Lie symmetry analysis of the two-Higgs-doublet model field equations,"We apply Lie symmetry analysis of partial differential equations (PDEs) to the Euler-Lagrange equations of the two-Higgs-doublet model (2HDM), to determine its scalar Lie point symmetries. A Lie point symmetry is a structure-preserving transformation of the spacetime variables and the fields of the model, which is also continuous and connected to the identity. Symmetries of PDEs may in general be divided into strict variational symmetries, divergence symmetries and non-variational symmetries, where the first two are collectively referred to as variational symmetries. Variational symmetries are usually preserved under quantization, and variational Lie symmetries yield conservation laws. We demonstrate that there are no scalar Lie point divergence symmetries or non-variational Lie point symmetries in the 2HDM, and re-derive its well-known strict variational Lie point symmetries, thus confirming the consistency of our implementation of Lie's method. Moreover, we prove three general results which may simplify Lie symmetry calculations for a wide class of particle physics models. Lie symmetry analysis of PDEs is a broadly applicable method for determining Lie symmetries. As demonstrated here by example, it can be applied to models with many variables, parameters and reparametrization freedom, while any missing discrete symmetries may be identified through the automorphism groups of the resulting Lie symmetry algebras.",2025,['M. Aa. Solberg'],http://arxiv.org/abs/2510.09542v1,arxiv,,,,,,,2510.09542v1,,False
,,Massive Gauge Theories from Consistency Conditions of Amplitudes,"Based on the general principles of Lorentz symmetry and unitary, we introduce two consistency conditions -- on-shell gauge symmetry and strong massive-massless continuation -- in constructing amplitudes of massive gauge theory with elementary particles. In particular we argue on-shell gauge symmtry can be understood as a consequence of Lorentz symmetry, through mixture of a spin-1 block ands a spin-0 block with degnerate mass spectrum. Based on the two conditions, combined with the little group transformation and consistent factorization, we construct 3-point and 4-point vector boson/scalar amplitudes, then analyze the underlying physical models. Given the particle masses, almost all possible vertices, including those involving Goldstone modes, are uniquely fixed. The only exceptions are triple and quartic scalar self-couplings. In addition, all particle masses must have the same physical origin. If the number of vector bosons smaller than 3, the underlying theories for the amplitudes are either massive gauge theories with spontaneous symmetry breaking (S.S.B) or Stueckelberg theory. The necessary condition for the latter is that the scalars have equal masses. We also discuss different models depending on the number of scalars involved. If the number of vector bosons larger than 3, the underlying theory must be Yang-Mills theory with S.S.B. In both abelian and non-abelian cases, the specific shape of Higgs potential cannot be determined, which explains the fact that scalar self-couuplings are undetermined, and the relations between the masses are generally not linear.",2025,['Junmou Chen'],http://arxiv.org/abs/2510.09003v1,arxiv,,,,,,,2510.09003v1,,False
,,Relativistic Particle on Light-Front,"We study Wigner's classification of massive one particle state in a general moving frame in the front form of Lorentz group, characterized and labeled by a special null vector -- reference vector. The little group transformation turns out to be equivalent to a change of reference vector, which also gives a concrete formula to compute the Wigner D-matrices with a general momentum. The little group transformation and Wigner D-matrices have both continuous zero momentum limit and infinite boost (massless) limit, a property that can be called massive-massless continuation. We then apply those results to massive spin-1 particle and compute the corresponding Wigner D-matrices. The resulting polarization vectors are equivalent to those in spinor-helicity formalism. In the massless limit, it is shown that longitudinal polarization decouples from the spectrum. The $\epsilon^\mu_\pm \rightarrow \epsilon^\mu_\pm +\xi k^\mu$ shift turns out to be remnant of this decoupling, with $\xi$ computable from the Wigner D-matrix. Thus in our construction, massless spin-1 particle can be defined as the infinite boost limit of massive spin-1 particle. Our results also give us a deeper understanding of gauge symmetry: it can be understood as the equivalence between obtaining the massless limit for polarization vectors through different reference vectors.",2025,['Junmou Chen'],http://arxiv.org/abs/2510.08983v1,arxiv,,,,,,,2510.08983v1,,False
,,Burnup Measurement using Bent Crystal Spectrometer for Pebble Bed   Reactors,"Burnup measurement is essential for monitoring and controlling pebble bed reactors (PBRs), where fuel pebbles circulate rapidly through the core. However, conventional gamma spectroscopy using high purity germanium (HPGe) detectors is difficult due to high activity levels in discharge pebbles, leading to excessive dead time and Compton scattering. This study explores the use of bent crystal diffraction (BCD) spectrometers to filter the emitted gamma spectrum and isolate key peaks for improved measurement accuracy and speed. Pebble wise depletion calculations were performed and the resulting spectra were analyzed using ray tracing (SHADOW3) and gamma response modeling (GADRAS). Key isotopes, $^{137m}$Ba/$^{137}$Cs, $^{239}$Pu, $^{144}$Ce, $^{148m}$Pm, and $^{140}$La, were found to strongly correlate with burnup, residence time, core passes, plutonium production, and fluence. Machine learning regression models applied to simulated spectra achieved a coefficient of determination ($R^2$) as high as 0.995 for burnup prediction. Among various BCD configurations, mosaic silicon crystals in the (440) orientation combined with an HPGe detector provided optimal performance for $^{137m}$Ba, while (220) and (440) configurations paired with scintillators were effective for the remaining isotopes.",2025,"['Ian Kolaja', 'Lee Bernstein', 'Ludovic Jantzen', 'Eleanor Tubman', 'Tatiana Siaraferas', 'Massimiliano Fratoni']",http://arxiv.org/abs/2510.08835v1,arxiv,,,,,,,2510.08835v1,,True
,,"TIGER: A Topology-Agnostic, Hierarchical Graph Network for Event   Reconstruction","Event reconstruction at the LHC, the task of assigning observed physics objects to their true origins, is a central challenge for precision measurements and searches. Many existing machine learning approaches address this problem but rely on a single event topology, restricting their applicability to realistic analyses where multiple signal and background processes with different structures are present. To overcome this, we present TIGER, a novel hierarchical graph network that is fundamentally topology-agnostic. By incorporating only the common underlying structure of sequential two-body decays, our model can reconstruct complex events without process-specific assumptions. This flexible architecture supports multi-task learning, enabling simultaneous event reconstruction and classification. TIGER thus provides a powerful and generalizable tool for physics analysis at the LHC.",2025,"['Nathalie Soybelman', 'Francesco A. Di Bello', 'Nilotpal Kakati', 'Eilam Gross']",http://arxiv.org/abs/2510.08162v1,arxiv,,,,,,,2510.08162v1,,True
